,Time (21:00-21:59),P1Card,P2Card
156,212230,Conditional,Sequential
157,212230,Probability,Sequential
158,212232,Sequential,Sequential
159,212232,Conditional,Sequential
160,212232,Probability,Sequential
161,212310,Probability,Sequential
162,212310,Sequential,Sequential
163,212313,Probability,Sequential
164,212313,Sequential,Sequential
165,212313,Probability,Sequential
166,212313,Sequential,Sequential
167,212315,Probability,Sequential
168,212315,Sequential,Sequential
169,212316,Probability,Sequential
170,212316,Sequential,Sequential
171,212316,Probability,Sequential
172,212316,Sequential,Sequential
173,212318,Probability,Sequential
174,212318,Sequential,Sequential
175,212335,Conditional,Sequential
176,212335,Probability,Sequential
177,212335,Sequential,Probability
178,212336,Conditional,Probability
179,212336,Probability,Probability
180,212336,Sequential,Conditional
181,212340,Probability,Conditional
182,212340,Sequential,Sequential
183,212340,Conditional,Sequential
184,212347,Probability,Sequential
185,212347,Conditional,Sequential
186,212349,Probability,Sequential
187,212349,Conditional,Sequential
188,212352,Probability,Sequential
189,212352,Conditional,Sequential
190,212413,Probability,Sequential
191,212413,Conditional,Conditional
192,212430,Probability,Sequential
193,212430,Conditional,Conditional
194,212431,Probability,Conditional
195,212431,Conditional,Conditional
196,212433,Probability,Conditional
197,212433,Conditional,Conditional
198,212436,Probability,Conditional
199,212436,Conditional,Conditional
200,212439,Probability,Conditional
201,212439,Conditional,Conditional
202,212508,Sequential,Conditional
203,212508,Probability,Sequential
204,212508,Conditional,Conditional
205,212510,Sequential,Sequential
206,212510,Probability,Conditional
207,212510,Conditional,Sequential
208,212511,Sequential,Conditional
209,212511,Probability,Probability
210,212511,Conditional,Sequential
211,212516,Probability,Conditional
212,212516,Sequential,Probability
213,212516,Conditional,Sequential
214,212518,Probability,Conditional
215,212518,Sequential,Probability
216,212518,Conditional,Sequential
217,212519,Probability,Conditional
218,212519,Sequential,Probability
219,212519,Conditional,Sequential
220,212521,Probability,Conditional
221,212521,Sequential,Probability
222,212521,Conditional,Conditional
223,212535,Probability,Probability
224,212535,Sequential,Conditional
225,212535,Conditional,Probability
226,212536,Probability,Conditional
227,212536,Sequential,Probability
228,212536,Conditional,Conditional
229,212537,Probability,Probability
230,212537,Sequential,Conditional
231,212537,Conditional,Probability
232,212637,Probability,Conditional
233,212637,Conditional,Probability
234,212639,Probability,Conditional
235,212639,Conditional,Probability
236,212640,Probability,Conditional
237,212640,Conditional,Probability
238,212741,Probability,Conditional
239,212741,Conditional,Probability
240,212742,Probability,Conditional
241,212742,Conditional,Probability
242,212743,Probability,Sequential
243,212743,Conditional,Conditional
244,212927,Probability,Probability
245,212927,Conditional,Sequential
246,212930,Probability,Conditional
247,212930,Conditional,Probability
248,212931,Probability,Sequential
249,212931,Conditional,Conditional
250,212954,Probability,Probability
251,212954,Conditional,Sequential
252,212956,Probability,Conditional
253,212956,Conditional,Probability
254,213001,Probability,Sequential
255,213001,Conditional,Conditional
256,213039,Probability,Probability
257,213039,Conditional,Sequential
258,213040,Probability,Conditional
259,213040,Conditional,Conditional
260,213043,Probability,Probability
261,213043,Conditional,Sequential
262,213120,Probability,Conditional
263,213120,Conditional,Probability
264,213120,Sequential,Sequential
265,213121,Probability,Conditional
266,213121,Conditional,Probability
267,213121,Sequential,Sequential
268,213123,Probability,Conditional
269,213123,Conditional,Probability
270,213123,Sequential,Conditional
271,213218,Probability,Probability
272,213218,Conditional,Conditional
273,213221,Probability,Probability
274,213221,Conditional,Conditional
275,213223,Probability,Probability
276,213223,Conditional,Conditional
277,213226,Probability,Probability
278,213226,Conditional,Sequential
279,213227,Probability,Conditional
280,213227,Conditional,Probability
281,213229,Probability,Sequential
282,213229,Conditional,Conditional
283,213231,Probability,Probability
284,213231,Conditional,Sequential
285,213301,Probability,Conditional
286,213301,Sequential,Conditional
287,213302,Probability,Conditional
288,213302,Sequential,Conditional
289,213304,Probability,Conditional
290,213304,Sequential,Conditional
291,213314,Probability,Conditional
292,213314,Conditional,Sequential
293,213314,Sequential,Conditional
294,213316,Probability,Sequential
295,213316,Conditional,Conditional
296,213316,Sequential,Sequential
297,213320,Probability,Probability
298,213320,Conditional,Sequential
299,213320,Sequential,Probability
300,213355,Probability,Sequential
301,213355,Conditional,Probability
302,213355,Sequential,Sequential
303,213356,Probability,Probability
304,213356,Conditional,Conditional
305,213356,Sequential,Probability
306,213358,Probability,Conditional
307,213358,Conditional,Probability
308,213358,Sequential,Conditional
309,213411,Probability,Probability
310,213411,Conditional,Conditional
311,213411,Sequential,Probability
312,213412,Probability,Conditional
313,213412,Conditional,Probability
314,213412,Sequential,Conditional
315,213414,Probability,Probability
316,213414,Conditional,Conditional
317,213414,Sequential,Sequential
318,213415,Probability,Probability
319,213415,Conditional,Conditional
320,213415,Sequential,Sequential
321,213418,Probability,Probability
322,213418,Conditional,Conditional
323,213418,Sequential,Sequential
324,213422,Probability,Probability
325,213422,Conditional,Probability
326,213422,Sequential,Probability
327,213455,Probability,Sequential
328,213455,Conditional,Probability
329,213455,Sequential,Probability
330,213457,Probability,Sequential
331,213457,Conditional,Probability
332,213457,Sequential,Sequential
333,213459,Probability,Probability
334,213459,Conditional,Sequential
335,213459,Sequential,Probability
336,213551,Probability,Sequential
337,213551,Conditional,Probability
338,213551,Sequential,Sequential
339,213552,Probability,Probability
340,213552,Conditional,Sequential
341,213552,Sequential,Conditional
342,213556,Probability,Probability
343,213556,Conditional,Sequential
344,213556,Sequential,Conditional
345,213632,Probability,Probability
346,213632,Conditional,Sequential
347,213639,Probability,Conditional
348,213639,Conditional,Probability
349,213639,Sequential,Sequential
350,213641,Probability,Conditional
351,213641,Conditional,Probability
352,213641,Sequential,Sequential
353,213642,Probability,Conditional
354,213642,Conditional,Probability
355,213642,Sequential,Sequential
356,213643,Probability,Conditional
357,213643,Conditional,Probability
358,213643,Sequential,Conditional
359,213646,Probability,Probability
360,213646,Conditional,Sequential
361,213646,Sequential,Conditional
362,213649,Probability,Probability
363,213649,Conditional,Sequential
364,213649,Sequential,Conditional
365,213726,Sequential,Probability
366,213726,Probability,Sequential
367,213726,Conditional,Conditional
368,213729,Probability,Sequential
369,213729,Conditional,Sequential
370,213729,Sequential,Sequential
371,213731,Probability,Sequential
372,213731,Conditional,Sequential
373,213731,Sequential,Sequential
374,213731,Probability,Sequential
375,213731,Conditional,Probability
376,213731,Sequential,Sequential
377,213733,Probability,Probability
378,213733,Conditional,Sequential
379,213733,Sequential,Probability
380,213745,Probability,Sequential
381,213745,Conditional,Conditional
382,213745,Sequential,Probability
383,213757,Probability,Conditional
384,213757,Conditional,Probability
385,213757,Sequential,Conditional
386,213800,Probability,Probability
387,213800,Conditional,Sequential
388,213800,Sequential,Conditional
389,213820,Probability,Sequential
390,213820,Conditional,Conditional
391,213821,Probability,Sequential
392,213821,Conditional,Conditional
393,213824,Probability,Sequential
394,213824,Conditional,Conditional
395,213834,Probability,Probability
396,213834,Conditional,Sequential
397,213836,Probability,Conditional
398,213836,Conditional,Probability
399,213838,Probability,Sequential
400,213838,Conditional,Conditional
401,213853,Probability,Probability
402,213853,Conditional,Conditional
403,213855,Probability,Conditional
404,213855,Conditional,Conditional
405,213856,Probability,Conditional
406,213856,Conditional,Conditional
407,213859,Probability,Sequential
408,213859,Conditional,Conditional
409,213923,Sequential,Sequential
410,213923,Probability,Conditional
411,213923,Conditional,Sequential
412,213926,Sequential,Conditional
413,213926,Probability,Sequential
414,213926,Conditional,Probability
415,213927,Sequential,Conditional
416,213927,Probability,Sequential
417,213927,Conditional,Probability
418,213942,Probability,Conditional
419,213942,Sequential,Sequential
420,213942,Conditional,Probability
421,213944,Probability,Sequential
422,213944,Sequential,Sequential
423,213944,Conditional,Sequential
424,213947,Probability,Probability
425,213947,Sequential,Sequential
426,213947,Conditional,Probability
427,214027,Probability,Sequential
428,214027,Conditional,Probability
429,214035,Probability,Sequential
430,214035,Conditional,Probability
431,214036,Probability,Conditional
432,214036,Conditional,Conditional
433,214038,Probability,Conditional
434,214038,Conditional,Conditional
435,214057,Sequential,Sequential
436,214057,Probability,Conditional
437,214057,Conditional,Sequential
438,214059,Sequential,Conditional
439,214059,Probability,Sequential
440,214059,Conditional,Conditional
441,214100,Sequential,Sequential
442,214100,Probability,Probability
443,214100,Conditional,Probability
444,214109,Sequential,Probability
445,214109,Probability,Probability
446,214109,Conditional,Probability
447,214113,Sequential,Probability
448,214113,Probability,Sequential
449,214113,Conditional,Probability
450,214114,Sequential,Sequential
451,214114,Probability,Sequential
452,214114,Conditional,Sequential
453,214132,Probability,Conditional
454,214132,Conditional,Sequential
455,214132,Sequential,Conditional
456,214135,Probability,Sequential
457,214135,Conditional,Conditional
458,214135,Sequential,Sequential
459,214136,Probability,Conditional
460,214136,Conditional,Sequential
461,214136,Sequential,Conditional
462,214137,Probability,Probability
463,214137,Conditional,Conditional
464,214137,Sequential,Probability
465,214140,Probability,Conditional
466,214140,Conditional,Probability
467,214140,Sequential,Conditional
468,214141,Probability,Sequential
469,214141,Conditional,Sequential
470,214141,Sequential,Sequential
471,214143,Probability,Sequential
472,214143,Conditional,Probability
473,214143,Sequential,Sequential
474,214157,Probability,Probability
475,214157,Conditional,Sequential
476,214157,Sequential,Probability
477,214158,Probability,Sequential
478,214158,Conditional,Sequential
479,214158,Sequential,Sequential
480,214202,Probability,Sequential
481,214202,Conditional,Conditional
482,214202,Sequential,Sequential
483,214244,Sequential,Conditional
484,214244,Probability,Sequential
485,214244,Conditional,Conditional
486,214250,Sequential,Sequential
487,214250,Probability,Probability
488,214250,Conditional,Conditional
489,214250,Sequential,Sequential
490,214250,Probability,Probability
491,214250,Conditional,Conditional
492,214251,Sequential,Probability
493,214251,Probability,Conditional
494,214251,Conditional,Sequential
495,214252,Sequential,Conditional
496,214252,Probability,Sequential
497,214252,Conditional,Conditional
498,214253,Sequential,Sequential
499,214253,Probability,Conditional
500,214253,Conditional,Sequential
501,214326,Sequential,Probability
502,214326,Probability,Sequential
503,214326,Conditional,Probability
504,214328,Sequential,Sequential
505,214328,Probability,Probability
506,214328,Conditional,Conditional
507,214330,Sequential,Sequential
508,214330,Probability,Probability
509,214330,Conditional,Conditional
510,214353,Probability,Sequential
511,214353,Conditional,Probability
512,214355,Probability,Conditional
513,214355,Conditional,Sequential
514,214356,Probability,Probability
515,214356,Conditional,Conditional
516,214411,Sequential,Sequential
517,214411,Probability,Probability
518,214411,Conditional,Conditional
519,214419,Sequential,Probability
520,214419,Probability,Conditional
521,214419,Conditional,Probability
522,214421,Sequential,Conditional
523,214421,Probability,Probability
524,214421,Conditional,Conditional
525,214427,Sequential,Probability
526,214427,Probability,Conditional
527,214427,Conditional,Probability
528,214431,Sequential,Conditional
529,214431,Probability,Sequential
530,214431,Conditional,Conditional
531,214433,Sequential,Sequential
532,214433,Probability,Conditional
533,214433,Conditional,Sequential
534,214445,Sequential,Conditional
535,214445,Probability,Sequential
536,214445,Conditional,Probability
537,214449,Sequential,Conditional
538,214449,Probability,Sequential
539,214449,Conditional,Probability
540,214451,Sequential,Conditional
541,214451,Probability,Sequential
542,214451,Conditional,Probability
543,214529,Probability,
544,214529,Conditional,
545,214529,Sequential,
546,214531,Probability,
547,214531,Conditional,
548,214531,Sequential,
549,214532,Probability,
550,214532,Conditional,
551,214532,Sequential,
552,214539,Probability,
553,214539,Conditional,
554,214539,Sequential,
555,214541,Probability,
556,214541,Conditional,
557,214541,Sequential,
558,214545,Probability,
559,214545,Conditional,
560,214545,Sequential,
561,214546,Probability,
562,214546,Conditional,
563,214546,Sequential,
564,214546,Probability,
565,214546,Conditional,
566,214546,Sequential,
567,214547,Probability,
568,214547,Conditional,
569,214547,Sequential,
570,214557,Probability,
571,214557,Conditional,
572,214557,Sequential,
573,214559,Probability,
574,214559,Conditional,
575,214559,Sequential,
576,214601,Probability,
577,214601,Conditional,
578,214601,Sequential,
579,214609,Probability,
580,214609,Conditional,
581,214609,Sequential,
582,214609,Probability,
583,214609,Conditional,
584,214609,Sequential,
585,214610,Probability,
586,214610,Conditional,
587,214610,Sequential,
588,214612,Probability,
589,214612,Conditional,
590,214612,Sequential,
591,214621,Probability,
592,214621,Conditional,
593,214621,Sequential,
594,214621,Probability,
595,214621,Conditional,
596,214621,Sequential,
597,214622,Probability,
598,214622,Conditional,
599,214622,Sequential,
600,214726,Probability,
601,214726,Conditional,
602,214726,Sequential,
603,214727,Probability,
604,214727,Conditional,
605,214727,Sequential,
606,214728,Probability,
607,214728,Conditional,
608,214728,Sequential,
609,214729,Probability,
610,214729,Conditional,
611,214729,Sequential,
612,214731,Probability,
613,214731,Conditional,
614,214731,Sequential,
615,214734,Probability,
616,214734,Conditional,
617,214734,Sequential,
618,214739,Probability,
619,214739,Conditional,
620,214739,Sequential,
621,214740,Probability,
622,214740,Conditional,
623,214740,Sequential,
624,214744,Probability,
625,214744,Conditional,
626,214744,Sequential,
627,214802,Probability,
628,214802,Conditional,
629,214802,Sequential,
630,214812,Probability,
631,214812,Conditional,
632,214812,Sequential,
633,214813,Probability,
634,214813,Conditional,
635,214827,Sequential,
636,214827,Probability,
637,214827,Conditional,
638,214827,Sequential,
639,214827,Probability,
640,214827,Conditional,
641,214828,Sequential,
642,214828,Probability,
643,214828,Conditional,
644,214849,Sequential,
645,214849,Probability,
646,214849,Conditional,
647,214852,Sequential,
648,214852,Probability,
649,214852,Conditional,
650,214900,Sequential,
651,214900,Probability,
652,214900,Conditional,
653,214917,Probability,
654,214917,Conditional,
655,214922,Probability,
656,214922,Conditional,
657,214923,Probability,
658,214923,Conditional,
659,214925,Probability,
660,214925,Conditional,
661,214938,Probability,
662,214938,Conditional,
663,214940,Probability,
664,214940,Conditional,
665,214941,Probability,
666,214941,Conditional,
667,214953,Probability,
668,214953,Conditional,
669,214954,Probability,
670,214954,Conditional,
671,214957,Probability,
672,214957,Conditional,
673,215043,Sequential,
674,215043,Probability,
675,215043,Conditional,
676,215044,Sequential,
677,215044,Probability,
678,215044,Conditional,
679,215046,Sequential,
680,215046,Probability,
681,215046,Conditional,
682,215100,Sequential,
683,215100,Probability,
684,215100,Conditional,
685,215101,Sequential,
686,215101,Probability,
687,215101,Conditional,
688,215103,Sequential,
689,215103,Probability,
690,215103,Conditional,
691,215136,Probability,
692,215136,Conditional,
693,215145,Probability,
694,215145,Conditional,
695,215146,Probability,
696,215146,Conditional,
697,215151,Probability,
698,215151,Conditional,
699,215220,Sequential,
700,215220,Probability,
701,215220,Conditional,
702,215223,Sequential,
703,215223,Probability,
704,215223,Conditional,
705,215236,Probability,
706,215236,Conditional,
707,215313,Sequential,
708,215313,Probability,
709,215313,Conditional,
710,215316,Sequential,
711,215316,Probability,
712,215316,Conditional,
713,215316,Sequential,
714,215316,Probability,
715,215316,Conditional,
716,215318,Sequential,
717,215318,Probability,
718,215318,Conditional,
719,215319,Sequential,
720,215319,Probability,
721,215319,Conditional,
722,215320,Sequential,
723,215320,Probability,
724,215320,Conditional,
725,215337,Sequential,
726,215337,Probability,
727,215337,Conditional,
728,215338,Sequential,
729,215338,Probability,
730,215338,Conditional,
731,215339,Sequential,
732,215339,Probability,
733,215339,Conditional,
734,215350,Sequential,
735,215350,Probability,
736,215350,Conditional,
737,215351,Sequential,
738,215351,Probability,
739,215351,Conditional,
740,215353,Sequential,
741,215353,Probability,
742,215353,Conditional,
743,215357,Sequential,
744,215357,Probability,
745,215357,Conditional,
746,215358,Sequential,
747,215358,Probability,
748,215358,Conditional,
749,215420,Probability,
750,215420,Conditional,
751,215421,Sequential,
752,215421,Probability,
753,215421,Conditional,
754,215426,Sequential,
755,215426,Probability,
756,215426,Conditional,
757,215448,Sequential,
758,215448,Probability,
759,215448,Conditional,
760,215449,Sequential,
761,215449,Probability,
762,215449,Conditional,
763,215450,Sequential,
764,215450,Probability,
765,215450,Conditional,
766,215504,Probability,
767,215504,Conditional,
768,215506,Sequential,
769,215506,Probability,
770,215506,Conditional,
771,215507,Sequential,
772,215507,Probability,
773,215507,Conditional,
774,215556,Probability,
775,215556,Conditional,
776,215558,Probability,
777,215558,Conditional,
778,215605,Probability,
779,215605,Conditional,
780,215618,Probability,
781,215618,Conditional,
782,215627,Probability,
783,215627,Conditional,
784,215628,Probability,
785,215628,Conditional,
786,215641,Sequential,
787,215641,Probability,
788,215641,Conditional,
789,215643,Sequential,
790,215643,Probability,
791,215643,Conditional,
792,215646,Sequential,
793,215646,Probability,
794,215646,Conditional,
795,215732,Sequential,
796,215732,Probability,
797,215732,Conditional,
798,215734,Sequential,
799,215734,Probability,
800,215734,Conditional,
801,215735,Sequential,
802,215735,Probability,
803,215735,Conditional,
804,215748,Sequential,
805,215748,Probability,
806,215748,Conditional,
807,215750,Sequential,
808,215750,Probability,
809,215750,Conditional,
810,215753,Sequential,
811,215753,Probability,
812,215753,Conditional,
813,215807,Sequential,
814,215807,Probability,
815,215807,Conditional,
816,215808,Sequential,
817,215808,Probability,
818,215808,Conditional,
819,215808,Sequential,
820,215808,Probability,
821,215808,Conditional,
822,215809,Sequential,
823,215809,Probability,
824,215809,Conditional,
825,215819,Sequential,
826,215819,Probability,
827,215819,Conditional,
828,215822,Sequential,
829,215822,Probability,
830,215822,Conditional,
831,215823,Sequential,
832,215823,Probability,
833,215823,Conditional,
834,215825,Sequential,
835,215825,Probability,
836,215825,Conditional,
837,215827,Sequential,
838,215827,Probability,
839,215827,Conditional,
840,215845,Sequential,
841,215845,Probability,
842,215845,Conditional,
843,215846,Sequential,
844,215846,Probability,
845,215846,Conditional,
846,215847,Sequential,
847,215847,Probability,
848,215847,Conditional,
849,215907,Probability,
850,215907,Conditional,
851,215908,Probability,
852,215908,Conditional,
853,215908,Probability,
854,215908,Conditional,
